unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
2,2nd O-declension,crānium,crāniī,Noun,neuter,"cranium, skull",,der Schädel,,lebka,,
2,2nd O-declension,diameter,diametrī,Noun,masculine,diameter,,der Durchmesser,,priemer,,
2,2nd O-declension,digitus,digitī,Noun,masculine,"finger, digit",,der Finger,,prst,,
2,2nd O-declension,diphtheria,diphtheriae,Noun,feminine,diphtheria,children’s infectious disease,die Diphtherie,,záškrt,,
2,2nd O-declension,dorsum,dorsī,Noun,neuter,back,,der Rücken,,chrbát,,
2,2nd O-declension,"dūrus, dūra, dūrum",,Adjective,,hard,,hart,,tvrdý,,
2,2nd O-declension,encephalon,encephalī,Noun,neuter,brain,,das Enzephalon,,mozog,,
2,2nd O-declension,fossa,fossae,Noun,feminine,"fossa, hole",,die Grube,,jama,,
2,2nd O-declension,fundus,fundī,Noun,masculine,"bottom, base of a hollow organ",,der Fundus,,dno,,
2,2nd O-declension,ganglion,gangliī,Noun,neuter,"ganglion, cluster of neuron cell bodies",,das Ganglion,,ganglion,,
2,2nd O-declension,gangraena,gangraenae,Noun,feminine,gangrene,necrosis due to insufficient blood supply,die Gangrän,,gangréna,,
2,2nd O-declension,haemorrhagia,haemorrhagiae,Noun,feminine,"haemorrhage, bleeding",,die Blutung,,krvácanie,,
2,2nd O-declension,humerus,humerī,Noun,masculine,humerus,upper arm bone,der Humerus,,ramenná kosť,,
2,2nd O-declension,"interosseus, interossea, interosseum",,Adjective,,interosseous,,interossär,,medzikostný,,
2,2nd O-declension,ligamentum,ligamentī,Noun,neuter,"ligament, fibrous band",,das Band,,väz,,
2,2nd O-declension,"longus, longa, longum",,Adjective,,long,,lang,,dlhý,,
2,2nd O-declension,lympha,lymphae,Noun,feminine,lymph,,die Lymphe,,lymfa,,
2,2nd O-declension,lymphocytus,lymphocytī,Noun,masculine,lymphocyte,,der Lymphozyt,,lymfocyt,,
2,2nd O-declension,"magnus, magna, magnum",,Adjective,,big / large,,groß,,veľký,,
2,2nd O-declension,"mediānus, mediāna, mediānum",,Adjective,,median,,median,,stredový,,
2,2nd O-declension,"mellītus, mellīta, mellītum",,Adjective,,mellitus / sugary,,zuckerhaltig,,sladký,,
2,2nd O-declension,"diabētēs mellītus",diabētae mellītī,Noun,masculine,diabetes mellitus,metabolic disease characterized by hyperglycemia,der Diabetes mellitus,,cukrovka,,
2,2nd O-declension,membrum,membrī,Noun,neuter,"extremity, limb",,das Glied,,končatina,,
2,2nd O-declension,methodus,methodī,Noun,feminine,method,,die Methode,,metóda,,
2,2nd O-declension,morbillī,morbillōrum,Noun,masculine plural,measles,,die Masern,,osýpky,,
2,2nd O-declension,morbus,morbī,Noun,masculine,disease,,die Krankheit,,ochorenie,,
2,2nd O-declension,mūsculus,mūsculī,Noun,masculine,muscle,,der Muskel,,sval,,
2,2nd O-declension,nāsus,nāsī,Noun,masculine,nose,,die Nase,,nos,,
2,2nd O-declension,neonātus,neonātī,Noun,masculine,"neonate, newborn",,das Neugeborene,,novorodenec,,
2,2nd O-declension,nervus,nervī,Noun,masculine,nerve,,der Nerv,,nerv,,
2,2nd O-declension,nōdus,nōdī,Noun,masculine,node,,der Knoten,,uzlina,,
2,2nd O-declension,nucleus,nucleī,Noun,masculine,"nucleus, kernel",,der Kern,,jadro,,
2,2nd O-declension,"obliquus, obliqua, obliquum",,Adjective,,oblique / diagonal,,schräg,,šikmý,,
2,2nd O-declension,oculus,oculī,Noun,masculine,eye,,das Auge,,oko,,
2,2nd O-declension,olecrānon,olecrānī,Noun,neuter,olecranon,tip of the elbow bone,das Olekranon,,olekranon,,
2,2nd O-declension,oleum,oleī,Noun,neuter,oil,,das Öl,,olej,,
2,2nd O-declension,ōvārium,ōvāriī,Noun,neuter,ovary,,der Eierstock,,vaječník,,
2,2nd O-declension,palātum,palātī,Noun,neuter,palate,,der Gaumen,,podnebie,,
