drug_id,english_name,slovak_name,atc_primary,atc_other,,mechanism_of_action,primary_indications,secondary_indications,routes_of_administration,standard_adult_dose,contraindications_absolute,contraindications_relative,adverse_effects_common,adverse_effects_serious,major_interactions,monitoring_parameters,antidote_or_reversal,half_life,metabolism,elimination
drug_clebopride,clebopride,,A03FA06,,,,,,,,,,,,,,,,,,
drug_itopride,itopride,,A03FA07,,,,,,,,,,,,,,,,,,
drug_cinitapride,cinitapride,,A03FA08,,,,,,,,,,,,,,,,,,
drug_mosapride,mosapride,,A03FA09,,,,,,,,,,,,,,,,,,
drug_acotiamide,acotiamide,,A03FA10,,,,,,,,,,,,,,,,,,
drug_ondansetron,ondansetron,,A04AA01,,,,,,,,,,,,,,,,,,
drug_granisetron,granisetron,,A04AA02,,,,,,,,,,,,,,,,,,
drug_tropisetron,tropisetron,,A04AA03,,,,,,,,,,,,,,,,,,
drug_dolasetron,dolasetron,,A04AA04,,,,,,,,,,,,,,,,,,
drug_palonosetron,palonosetron,,A04AA05,,,,,,,,,,,,,,,,,,
drug_palonosetron_combinations,"palonosetron, combinations",,A04AA55,,,,,,,,,,,,,,,,,,
drug_scopolamine,scopolamine,,A04AD01,N05CM05;S01FA02,,,,,,,,,,,,,,,,,
drug_cerium_oxalate,cerium oxalate,,A04AD02,,,,,,,,,,,,,,,,,,
drug_chlorobutanol,chlorobutanol,,A04AD04,,,,,,,,,,,,,,,,,,
drug_metopimazine,metopimazine,,A04AD05,,,,,,,,,,,,,,,,,,
drug_dronabinol,dronabinol,,A04AD10,,,,,,,,,,,,,,,,,,
drug_nabilone,nabilone,,A04AD11,,,,,,,,,,,,,,,,,,
drug_aprepitant,aprepitant,,A04AD12,,,,,,,,,,,,,,,,,,
drug_casopitant,casopitant,,A04AD13,,,,,,,,,,,,,,,,,,
drug_rolapitant,rolapitant,,A04AD14,,,,,,,,,,,,,,,,,,
drug_scopolamine_combinations,"scopolamine, combinations",,A04AD51,,,,,,,,,,,,,,,,,,
drug_chlorobutanol_combinations,"chlorobutanol, combinations",,A04AD54,,,,,,,,,,,,,,,,,,
drug_chenodeoxycholic_acid,chenodeoxycholic acid,,A05AA01,,,,,,,,,,,,,,,,,,
drug_ursodeoxycholic_acid,ursodeoxycholic acid,,A05AA02,,,,,,,,,,,,,,,,,,
drug_cholic_acid,cholic acid,,A05AA03,,,,,,,,,,,,,,,,,,
drug_obeticholic_acid,obeticholic acid,,A05AA04,,,,,,,,,,,,,,,,,,
drug_ursodoxicoltaurine,ursodoxicoltaurine,,A05AA05,,,,,,,,,,,,,,,,,,
drug_nicotinyl_methylamide,nicotinyl methylamide,,A05AB01,,,,,,,,,,,,,,,,,,
drug_piprozolin,piprozolin,,A05AX01,,,,,,,,,,,,,,,,,,
drug_hymecromone,hymecromone,,A05AX02,,,,,,,,,,,,,,,,,,
drug_cyclobutyrol,cyclobutyrol,,A05AX03,,,,,,,,,,,,,,,,,,
drug_maralixibat_chloride,maralixibat chloride,,A05AX04,,,,,,,,,,,,,,,,,,
drug_odevixibat,odevixibat,,A05AX05,,,,,,,,,,,,,,,,,,
drug_elafibranor,elafibranor,,A05AX06,,,,,,,,,,,,,,,,,,
drug_arginine_glutamate,arginine glutamate,,A05BA01,,,,,,,,,,,,,,,,,,
drug_silymarin,silymarin,,A05BA03,,,,,,,,,,,,,,,,,,
drug_citiolone,citiolone,,A05BA04,,,,,,,,,,,,,,,,,,
drug_epomediol,epomediol,,A05BA05,,,,,,,,,,,,,,,,,,
drug_ornithine_oxoglurate,ornithine oxoglurate,,A05BA06,,,,,,,,,,,,,,,,,,
drug_tidiacic_arginine,tidiacic arginine,,A05BA07,,,,,,,,,,,,,,,,,,
drug_glycyrrhizic_acid,glycyrrhizic acid,,A05BA08,,,,,,,,,,,,,,,,,,
drug_metadoxine,metadoxine,,A05BA09,,,,,,,,,,,,,,,,,,
drug_phospholipids,phospholipids,,A05BA10,,,,,,,,,,,,,,,,,,
drug_liquid_paraffin,liquid paraffin,,A06AA01,,,,,,,,,,,,,,,,,,
drug_docusate_sodium,docusate sodium,,A06AA02,,,,,,,,,,,,,,,,,,
drug_liquid_paraffin_combinations,"liquid paraffin, combinations",,A06AA51,,,,,,,,,,,,,,,,,,
drug_oxyphenisatine,oxyphenisatine,,A06AB01,,,,,,,,,,,,,,,,,,
drug_bisacodyl,bisacodyl,,A06AB02,A06AG02,,,,,,,,,,,,,,,,,
drug_dantron,dantron,,A06AB03,,,,,,,,,,,,,,,,,,
drug_phenolphthalein,phenolphthalein,,A06AB04,,,,,,,,,,,,,,,,,,
drug_castor_oil,castor oil,,A06AB05,,,,,,,,,,,,,,,,,,
drug_senna_glycosides,senna glycosides,,A06AB06,,,,,,,,,,,,,,,,,,
drug_cascara,cascara,,A06AB07,,,,,,,,,,,,,,,,,,
drug_sodium_picosulfate,sodium picosulfate,,A06AB08,,,,,,,,,,,,,,,,,,
drug_bisoxatin,bisoxatin,,A06AB09,,,,,,,,,,,,,,,,,,
drug_contact_laxatives_in_combination,contact laxatives in combination,,A06AB20,,,,,,,,,,,,,,,,,,
drug_contact_laxatives_in_combination_with_belladonna_alkaloids,contact laxatives in combination with belladonna alkaloids,,A06AB30,,,,,,,,,,,,,,,,,,
drug_bisacodyl_combinations,"bisacodyl, combinations",,A06AB52,,,,,,,,,,,,,,,,,,
